Source ID,Source title,Source domain,Source hub,Source topic,Target ID,Target title,Target domain,Target hub,Target topic,#Overlapping Titles,Jaccard
1242,Nintendo,nintendo.wikia.com,Games,Gaming,3473,MarioWiki,mario.wikia.com,Games,Gaming,2169,0.086677
20,Religion-wiki,religion.wikia.com,Lifestyle,Philosophy,1286,Christianity Knowledge Base,christianity.wikia.com,Lifestyle,Philosophy,2143,0.054812
125,Tardis,tardis.wikia.com,TV,Comics,323,"Memory Beta, non-canon Star Trek Wiki",memory-beta.wikia.com,Books,Entertainment,2116,0.022451
425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,2116,0.010725
6294,Marvel Movies,marvel-movies.wikia.com,Movies,Comics,177996,Marvel Cinematic Universe Wiki,marvelcinematicuniverse.wikia.com,Movies,Entertainment,2081,0.130405
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,2079,0.005892
4385,Dark Horse Database,darkhorse.wikia.com,Comics,Entertainment,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,2071,0.013013
847,LOST,lost.wikia.com,TV,Entertainment,11432,Lostpedia,lostpedia.wikia.com,TV,Entertainment,2022,0.101992
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,3035,Fallout Wiki,fallout.wikia.com,Games,Gaming,2019,0.020816
74,Pokémon Wiki,pokemon.wikia.com,Games,Gaming,1242,Nintendo,nintendo.wikia.com,Games,Gaming,2015,0.054906
831,Muppet Wiki,muppet.wikia.com,TV,Movies,2342,Puppet Wikia,puppet.wikia.com,TV,Movies,2007,0.041310
119,SGCommand,stargate.wikia.com,TV,Entertainment,425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,1999,0.035695
174,Final Fantasy Wiki,finalfantasy.wikia.com,Games,Gaming,304,RuneScape Wiki,runescape.wikia.com,Games,Gaming,1986,0.008932
